index site,latitude,longitude,pays,couleur,capacite offshore,scores,capacites
323,70.0,24.0,Norvège,#c69f59,Non,0.002392290138230777,169.03135466185503
324,70.0,25.0,Norvège,#c69f59,Non,0.0023177048198380536,163.76140132119062
325,70.0,26.0,Norvège,#c69f59,Non,0.002141996252620167,151.34641173949305
326,70.0,27.0,Norvège,#c69f59,Non,0.0019425593128479372,137.25485337849676
327,70.0,28.0,Suède,#758da3,Non,0.0021419962526201676,774.8622441683791
328,70.0,29.0,Norvège,#c69f59,Non,0.0023177048198380536,163.76140132119062
329,70.0,30.0,Norvège,#c69f59,Non,0.002392290138230777,169.03135466185503
330,70.0,31.0,Norvège,#c69f59,Non,0.002317704819838053,163.7614013211906
333,69.0,17.0,Norvège,#c69f59,Non,0.00442811851080967,312.8762931067143
334,69.0,18.0,Norvège,#c69f59,Non,0.0029215268776869373,206.42548239640166
335,69.0,19.0,Norvège,#c69f59,Non,0.002392290138230777,169.03135466185503
336,69.0,20.0,Norvège,#c69f59,Non,0.0023107317114275613,163.2687044103965
337,69.0,21.0,Suède,#758da3,Non,0.002122440187954054,767.7878825135673
338,69.0,22.0,Suède,#758da3,Non,0.0019141006458702236,692.4215297804024
339,69.0,23.0,Norvège,#c69f59,Non,0.0017274444185445541,122.05554230373993
340,69.0,24.0,Norvège,#c69f59,Non,0.001578322881129746,111.51910482248825
341,69.0,25.0,Norvège,#c69f59,Non,0.0015647655115678012,110.56118566958746
344,68.0,15.0,Norvège,#c69f59,Non,0.00431192742931406,304.6666133563502
345,68.0,16.0,Norvège,#c69f59,Non,0.0028448670520756173,201.00895119721946
346,68.0,17.0,Norvège,#c69f59,Non,0.002303568411889671,162.762569219941
348,67.0,14.0,Norvège,#c69f59,Non,0.004204262706353383,297.05937806306116
349,67.0,15.0,Norvège,#c69f59,Non,0.0027738326481084813,195.98989379348737
350,67.0,16.0,Norvège,#c69f59,Non,0.0021749011021618375,153.6713602079453
352,66.0,13.0,Norvège,#c69f59,Non,0.0041042010791259055,289.9893525132177
353,66.0,14.0,Norvège,#c69f59,Non,0.0027078145261913906,191.3252703845015
355,65.0,12.0,Norvège,#c69f59,Non,0.0040109533509553605,283.4007746647698
356,65.0,13.0,Norvège,#c69f59,Non,0.002646291999391045,186.97829094371616
357,65.0,14.0,Norvège,#c69f59,Non,0.002074897239201355,146.60541609126298
359,64.0,10.0,Norvège,#c69f59,Non,0.003923840494604604,277.2456666859685
360,64.0,11.0,Norvège,#c69f59,Non,0.0025888170671430925,182.91730122440288
361,64.0,12.0,Norvège,#c69f59,Non,0.002273362790403664,160.62833933010043
364,63.0,8.0,Norvège,#c69f59,Non,0.00384227474981308,271.48249936951964
365,63.0,9.0,Norvège,#c69f59,Non,0.002535001943994208,179.11490158157454
366,63.0,10.0,Norvège,#c69f59,Non,0.0022655083212228156,160.07336836542868
367,63.0,11.0,Norvège,#c69f59,Non,0.002006868771090267,141.79874823077841
368,63.0,12.0,Norvège,#c69f59,Non,0.001758288322205907,124.23487111324376
369,62.0,5.0,Norvège,#c69f59,Non,0.002392290138230777,169.03135466185503
370,62.0,6.0,Norvège,#c69f59,Non,0.002392290138230777,169.03135466185503
371,62.0,7.0,Norvège,#c69f59,Non,0.002392290138230777,169.03135466185503
372,62.0,8.0,Norvège,#c69f59,Non,0.002257565385867023,159.51214667173642
373,62.0,9.0,Norvège,#c69f59,Non,0.0019883147817824276,140.48778435688766
374,62.0,10.0,Norvège,#c69f59,Non,0.0017349599734543875,122.58656670046473
375,62.0,11.0,Norvège,#c69f59,Non,0.0015328665036493676,108.30730666275024
376,62.0,12.0,Norvège,#c69f59,Non,0.001408045377323721,99.48785632264804
378,61.0,6.0,Norvège,#c69f59,Non,0.003693802258695332,260.9919213653762
379,61.0,7.0,Norvège,#c69f59,Non,0.0024370432431472864,172.19346189478296
380,61.0,8.0,Norvège,#c69f59,Non,0.001910825953532132,135.01267855722327
381,61.0,9.0,Norvège,#c69f59,Non,0.001607961341805883,113.61326099448361
382,61.0,10.0,Norvège,#c69f59,Non,0.0014065409278308314,99.38155686852265
